,rank,name,original_price,sale_price
68,69,다온농산 수입 페루산 통녹두 / 죽용 -5Kg- 정선후 판매 깨끗,"30,800","26,800"
69,70,산과들에 하루견과류 원데이발란스그린 100봉,"31,900","28,080"
70,71,이쌀이다 24년 햅쌀 당진해나루 삼광미 10kg,"32,900","27,270"
71,72,산과들에 하루 한줌 견과류 원데이발란스그린 100낱봉,"37,900","30,110"
72,73,경기미 고시히카리10kg 특등급/24년산 햅쌀/당일도정/든든,"38,900","34,900"
73,74,백미 20kg (쌀) 2024년산 햅쌀 12시전 주문 당일도정 당일출고,"45,500","41,500"
74,75,(신선집중) 10% / (안동농협농산물유통센타) 밥이다르다 안동 명품 백진주쌀 10kg 2024년 햅쌀,"48,400","39,150"
75,76,국산 쌀 백미 20kg (5kgx4봉) 2024년산 햅쌀 밥맛좋은 상 등급,"49,900","44,910"
76,77,하루견과 원데이프리미엄100낱봉 /견과류 견과,"49,900","43,410"
77,78,지리산메뚜기쌀 /24년햅쌀/백미20kg/상등급/판매자당일직도정/명가미곡/박스포장,"51,900","46,710"
78,79,농협 농부와우렁이 유기농 쌀 10kg 24년산 햅쌀 단일품종 당일도정,"34,900","30,900"
79,80,산과들에 원데이프리미엄 100봉 하루견과 견과류,"53,900","45,170"
80,81,(신선집중) 10%+10% / 하루견과 프리미엄너츠 낱봉 100봉,"54,800","43,840"
81,82,(신선집중) 10% / 밥맛좋은 강원오대쌀 10kg+10kg 24년 햅쌀 상등급,"57,500","51,750"
82,83,영광군농협 신동진쌀 20kg /24년 햅쌀,"59,000","51,750"
83,84,(신선집중) 10% / 24년 햅쌀 농협 세종대왕쌀 20kg 상등급 / 갓 수확한 쌀 당일도정 / 박스포장,"59,700","48,330"
84,85,(NS홈쇼핑)24년 햅쌀 경기 추청 아끼바레 20kg / 상등급 최근도정 햅쌀 C..31187640,"61,000","54,900"
85,86,고급미 농사꾼쌀 백미 쌀 20kg 상등급 2023년산,"47,900","43,800"
86,87,수입적두(팥) 4kg (2kgx2봉),"29,400","25,400"
87,88,(신선집중) 순수 하루 한줌견과 선물세트 100개입,"58,900","47,120"
88,89,서리태20kg 주문시+1kg줌 검은콩 속청 서리태콩,"109,800","98,370"
89,90,구운아몬드(550g/봉),N/A,"13,900"
90,91,국산밤 껍질이 잘까지는 포르단밤 24년 햇밤 (대) 1kg 군밤용 / 2개구매시 2천원할인,"15,900","11,930"
91,92,24년산 경기미4kg,"22,900","19,470"
92,93,렌틸콩 깐렌틸콩 탈피렌틸콩 캐나다산 10kg 2023년산,"20,700","17,600"
93,94,맘스넛 하루견과 70봉 / 선물용세트x2박스,"21,500","16,700"
94,95,국산 찹쌀 5kg l 찰기가득 잡곡 l 2024년산 햅쌀,"21,700","18,450"
95,96,원더풀피스타치오(무염300g2입),"21,980","18,690"
96,97,서래푸드 마카다미아 1kg 24년산 말라위,"22,900","19,470"
