,rank,name,original_price,sale_price
54,55,음식물 처리기 가정용 분쇄기 건조기 더플렌더 (11/4부터 순차출고)본품+푸드컨테이너 증정,"498,000","438,200"
55,56,본사) 라엘 유기농 순면커버 올그린 생리대 7팩(중/대/오버/입오버/탐폰/라이너) 네고당한 그 생리대,"30,000","23,550"
56,57,(10%+15%쿠폰) 이니스프리 단독 1+1/유채꿀/씨드크림/폼 선/핸드크림2970원/본품증정/그린티/레티놀/PDRN,"130,000","35,100"
57,58,깨끗한나라 순수시그니처 화장지 브라운 30m 30롤 2팩 + 키친타올 70매 증정 + G스마일캐시 적립,"47,900","27,580"
58,59,(신선집중) 10%+15% / 바다마을 완도 참전복 고급선물용 왕특대 8~9미1kg (산소포장),"38,800","26,180"
59,60,(15%할인쿠폰)로보락 S8 MaxV Ultra 로봇청소기 로봇팔 사각지대 청소,"1,760,000","1,560,000"
60,61,(캡슐당428원)일리 네스프레소 호환 캡슐 6종 맛선택 200캡슐,"100,880","85,760"
61,62,금강만두 육개장 630g x5봉,"22,200","17,100"
62,63,(20+10% 할인) 4480원~ 릴리스토리 가을 신상 베스트 자켓/가디건/니트/집업/원피스/셋업/후드티/팬츠,"47,330","9,940"
63,64,75g 고평량 시그니앙 오가든 20팩 캡형 77매 엠보 아기물티슈,"20,600","18,450"
64,65,스마일 뜯어쓰는 스케치북 8절 도화지 250매 130g,"25,000","8,890"
65,66,(단독10%+25%) 돌돌이 테이프클리너 리필 15롤 (3롤x5봉지)/ 자우버탁 사선컷팅 대용량 돌돌이,"48,150","9,400"
66,67,(최종 11.9만) 대용량 스텐 에어프라이어 AO-16L (+10만원 상당 조리도구7종),"179,000","128,880"
67,68,아기물티슈 (G단독/70평량)엠보싱 한장충분/유기농 녹차수 슈퍼대디 미스터펭 피치 캡형 70매 20팩 저자극,"28,240","17,980"
68,69,멸균우유 200ml 24입+24입 (2박스),"39,800","26,900"
69,70,3M 욕실 변기청소 크린스틱 리필24입+기프티콘+핸들/리필 1입 추가사은품 증정(11/1일 구매해당),"36,250","11,600"
70,71,(10%+10%쿠폰) FILA 본사 공식 최대 74% SALE BEST 운동화 / 의류 / ACC 특가 기획전,"118,660","28,480"
71,72,무료배송 3M플러스와이퍼 균일가 행사/2개묶음 행사,"28,500","8,550"
72,73,(신선집중) 10%+10% / 도드람한돈 냉장 칼집삼겹살 구이용 1kg / 2팩이상 구매시 무료배송,"28,700","19,340"
73,74,락토핏 골드 50포 6통 (300일분) + 증정) 30포 1개,"77,000","49,900"
74,75,(+10%+10%) 미샤 블프 전품목 up to 1+1 /더 퍼스트/보랏빛앰플/비타씨,"145,000","35,200"
75,76,(신선집중) 10% / 2024년 햅쌀 농부의아침 쌀10kg 백미 상등급 밥맛 좋은 쌀,"24,900","22,410"
76,77,해피랜드/압소바/미피키즈 FW 의류 초특가 구매 금액별 사은품 증정,"29,200","11,680"
77,78,물티슈 (G단독/82평량)엠보싱 행주급/유기농 녹차수 슈퍼대디 미스터펭 NEW카키 캡형 70매 20팩 저자극,"36,110","22,980"
78,79,무료반품)30+10%) 르샵/보니스팍스/나인식스뉴욕 따뜻하고 포근한 겨울스타일링 추천,"125,000","22,500"
79,80,비트 딥클린 겸용 액체세제 4L x 3,"27,870","20,910"
80,81,(10+20%쿠폰)빅사이즈 가을겨울신상 피치기모 잠옷/여성/원피스/커플/아동/주니어/가족/파자마/짱구,"33,000","6,930"
81,82,(신선집중) 조선호텔 포기김치 9kg,"71,900","64,710"
82,83,(10%+중복10%) 테리파머 호텔수건 625gsm 수건 10장 타월 타올 수건세트 호텔타올 호텔타월 세면타올 샤워,"67,000","26,800"
83,84,상하목장 유기농 멸균우유 1.25DL 48팩,"41,000","30,900"
84,85,리챔 오리지널 200g 10캔,"32,800","19,900"
85,86,((10+10쿠폰)) 모놀로그 주문폭주 가을신상 ~66 빅사이즈 니트/셔츠/데님/밴딩팬츠/원피스 3만이상 무배,"46,300","11,120"
86,87,((쿠폰할인 20%+10%)) 알트베니 홈쇼핑BEST 빅사이즈 55~88 가을신상품 원피스/블라우스/팬츠/미시룩,"26,300","5,530"
87,88,(10%+중복15%)더데이걸 브랜드데이 UPTO 90% 겨울아우터/기모팬츠/맨투맨 빅세일,"66,000","14,930"
88,89,16TD90SP-KX76K LG 그램 프로 360 16TD90SP-KX76K Ultra7 16GB 256GB,"2,201,010","1,830,910"
89,90,아이클리어 루테인 지아잔틴 6박스 (6개월분) +증정,"57,500","41,500"
90,91,(빅스마일오픈특가2.9만) 두리 3.0 바오 무소음 유아변기커버+디딤대상단+비데 물티슈 휴대용 2팩,"66,200","29,790"
91,92,삼성전자 스마트모니터 M7 S43DM701 화이트 107.9cm UHD,"551,540","452,270"
92,93,시크릿 가든 5종 핸드크림 세트/선물세트 +쇼핑백 1+1/5+1덤,"16,400","10,350"
93,94,역대급 초핫딜 7팩 9900원/ 생리대 입는오버나이트 팬티라이너 유기농생리대 리버티 /복수구매시 사은품,"19,500","9,900"
94,95,(행사상품)동서 모카골드믹스 230T 2760G,"28,750","25,300"
95,96,선착순 5900원 체험키트/20%+10%쿠폰/역대급혜택)1등 마데카크림 기미앰플 마스크팩 외 센텔리안24 전품목,"123,240","25,900"
96,97,VXE R1 SE+ 무선 게임밍 마우스 PAW3395SE 초경량 예약판매11월초출고 /무료배송,"24,070","21,490"
97,98,신라면+튀김우동+새우탕+오짬뽕 6입4개(총24개),"25,200","16,380"
98,99,센소다인 오리지날 플러스2개+후레쉬 2개+멀티케어 2개 치약 최종 21390원+11/1~2 치약 디스펜서 단독증정,"34,700","21,390"
99,100,(신세계강남점)고워크 굳이어 스웨이드 SP0WW22Y 4종택1,"71,400","48,560"
100,101,단독기획 빼빼로 3종 혼합 12입(초코/아몬드/초코필드) + 도블 보드게임 굿즈,"21,600","15,900"
101,102,(신선집중) 10% / 밥맛좋은 경기미 10kg+10kg 24년산/특등급/당일도정,"55,500","49,950"
102,103,도치맘 pick 베스트 자녀교육서 15종 택1 골라담기,"22,500","18,000"
103,104,베베쥬 10+15%+카드사7%/겨울 인기 신상 특가전/ 전상품 무료배송,"44,300","9,980"
104,105,(무료반품/10%+20%쿠폰) 겨울 신상 SALE/기모 팬츠 오픈/청바지/면바지/밴딩바지/셔츠/니트/맨투맨,"99,600","20,930"
105,106,핫딜보장 국민육아템 튤립사운드북 한글이/코랄이/분홍이/하늘이 세트,"99,000","32,300"
106,107,|쓱데이| (11/8~) 이천 테르메덴 풀앤스파 미들시즌 입장권,"24,200","21,780"
107,108,비비고 사골곰탕 500g 18개,"33,500","23,470"
108,109,스팸 클래식 200g x9개,"39,900","25,530"
109,110,건국 멸균우유 200ml 48팩,"30,900","24,720"
110,111,하림펫푸드 밥이보약 3.4kg 고양이/더리얼 1.6kg 사료 간식 모음_하루양갱 츄르 다이어트 헤어볼 습식 건식,"60,000","16,530"
111,112,(신선집중) 10%+10% / 어가찬 중(고바)멸치 1.5kg 안주/볶음용/햇멸치/국내산 _ 11월 1일 단 하루,"16,400","11,760"
112,113,하겐다즈 아이스크림 파인트 3개 골라담기,"30,000","23,100"
113,114,피코크 떡갈비 450gx6팩(신세계푸드 중복쿠폰 할인),"33,630","25,900"
114,115,페넬로페 아기물티슈 0퍼센트 그린 70평량 캡형 70매 10팩+10팩,"29,900","20,930"
115,116,히트 웜 밍크 극세사 자가발열 토퍼패드(오코텍스인증) 오코텍스인증/KC인증/광조사 성적서인증,"49,000","15,920"
